Model,Team,Condition,Provider,Metric,mean,ci
Claude 3.7 Sonnet,Solo Models,Advisor,Anthropic,F1,0.614,0.004
Claude Haiku 4.5,Solo Models,Advisor,Anthropic,F1,0.562,0.004
Claude Sonnet 4.5,Solo Models,Advisor,Anthropic,F1,0.642,0.003
DeepSeek R1,Solo Models,Advisor,DeepSeek,F1,0.601,0.005
DeepSeek V3.1,Solo Models,Advisor,DeepSeek,F1,0.564,0.004
GPT-4.1,Solo Models,Advisor,OpenAI,F1,0.564,0.003
GPT-4.1 mini,Solo Models,Advisor,OpenAI,F1,0.54,0.003
GPT-4o,Solo Models,Advisor,OpenAI,F1,0.544,0.004
GPT-4o mini,Solo Models,Advisor,OpenAI,F1,0.506,0.007
GPT-5,Solo Models,Advisor,OpenAI,F1,0.669,0.004
GPT-5 mini,Solo Models,Advisor,OpenAI,F1,0.645,0.004
GPT-5 nano,Solo Models,Advisor,OpenAI,F1,0.56,0.007
Gemini 2.0 Flash,Solo Models,Advisor,Google,F1,0.531,0.003
Gemini 2.5 Flash,Solo Models,Advisor,Google,F1,0.566,0.008
Gemini 2.5 Pro,Solo Models,Advisor,Google,F1,0.627,0.005
Gemini 3 Pro,Solo Models,Advisor,Google,F1,0.649,0.003
Glass Health 4.0,Solo Models,Advisor,Glass Health,F1,0.662,0.004
Grok 4,Solo Models,Advisor,xAI,F1,0.612,0.005
Grok 4 Fast,Solo Models,Advisor,xAI,F1,0.596,0.005
Kimi K2,Solo Models,Advisor,Moonshot AI,F1,0.545,0.006
AMBOSS LiSA 1.0,Solo Models,Advisor,AMBOSS,F1,0.623,0.004
Llama 3.3 70b,Solo Models,Advisor,Meta,F1,0.5,0.005
Llama 4 Maverick,Solo Models,Advisor,Meta,F1,0.544,0.003
Llama 4 Scout,Solo Models,Advisor,Meta,F1,0.479,0.002
Mistral Large 2.1,Solo Models,Advisor,Mistral AI,F1,0.578,0.005
Mistral Medium 3.1,Solo Models,Advisor,Mistral AI,F1,0.551,0.003
Qwen3 235B,Solo Models,Advisor,Alibaba,F1,0.53,0.006
Qwen3 32B,Solo Models,Advisor,Alibaba,F1,0.503,0.006
o1,Solo Models,Advisor,OpenAI,F1,0.625,0.004
o1 mini,Solo Models,Advisor,OpenAI,F1,0.485,0.006
o3 mini,Solo Models,Advisor,OpenAI,F1,0.571,0.006
o4 mini,Solo Models,Advisor,OpenAI,F1,0.584,0.005
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Anthropic + Anthropic,OverallScore,0.59,0.004
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Anthropic + DeepSeek,OverallScore,0.571,0.025
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,OverallScore,0.458,0.016
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,OverallScore,0.579,0.011
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,OverallScore,0.591,0.018
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Anthropic + Google,OverallScore,0.588,0.021
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,OverallScore,0.582,0.004
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,OverallScore,0.576,0.015
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,OverallScore,0.573,0.013
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,OverallScore,0.568,0.016
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,OverallScore,0.586,0.007
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Anthropic + AMBOSS,OverallScore,0.61,0.009
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,DeepSeek + Anthropic,OverallScore,0.603,0.014
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,DeepSeek + DeepSeek,OverallScore,0.567,0.013
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,OverallScore,0.602,0.014
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,OverallScore,0.591,0.01
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,OverallScore,0.597,0.008
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,OverallScore,0.589,0.008
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,DeepSeek + AMBOSS,OverallScore,0.628,0.009
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,DeepSeek + Meta,OverallScore,0.579,0.01
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,OverallScore,0.577,0.011
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,OverallScore,0.586,0.021
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.43,0.012
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.584,0.022
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.594,0.004
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,OverallScore,0.576,0.005
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,OverallScore,0.599,0.013
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,OverallScore,0.567,0.007
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,OverallScore,0.565,0.002
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.572,0.006
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,OverallScore,0.551,0.013
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.445,0.012
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.57,0.012
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.581,0.003
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,OverallScore,0.593,0.012
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,OverallScore,0.596,0.012
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,OverallScore,0.592,0.007
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,OpenAI + AMBOSS,OverallScore,0.589,0.008
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,OverallScore,0.574,0.028
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,OverallScore,0.575,0.024
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.563,0.026
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.431,0.044
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.574,0.008
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.578,0.025
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,OverallScore,0.583,0.026
GPT-5 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,OverallScore,0.604,0.015
GPT-5 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,OverallScore,0.545,0.018
GPT-5 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.543,0.021
Gemini 2.0 Flash + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Google + Anthropic,OverallScore,0.602,0.007
Gemini 2.0 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,OverallScore,0.575,0.014
Gemini 2.0 Flash + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,OverallScore,0.496,0.018
Gemini 2.0 Flash + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,OverallScore,0.603,0.012
Gemini 2.0 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,OverallScore,0.597,0.019
Gemini 2.0 Flash + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,OverallScore,0.56,0.009
Gemini 2.0 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,OverallScore,0.569,0.016
Gemini 2.0 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,OverallScore,0.562,0.004
Gemini 2.0 Flash + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,OverallScore,0.556,0.006
Gemini 2.0 Flash + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,OverallScore,0.576,0.012
Gemini 2.5 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,OverallScore,0.575,0.024
Gemini 2.5 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,OverallScore,0.606,0.016
Gemini 2.5 Flash + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,OverallScore,0.592,0.005
Gemini 2.5 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,OverallScore,0.57,0.009
Gemini 2.5 Flash + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,OverallScore,0.63,0.009
Gemini 2.5 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,OverallScore,0.592,0.008
Gemini 2.5 Pro + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,OverallScore,0.575,0.003
Gemini 2.5 Pro + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,OverallScore,0.439,0.024
Gemini 2.5 Pro + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,OverallScore,0.614,0.015
Gemini 2.5 Pro + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,OverallScore,0.616,0.012
Gemini 2.5 Pro + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,OverallScore,0.614,0.014
Gemini 2.5 Pro + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,OverallScore,0.579,0.014
Gemini 2.5 Pro + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,OverallScore,0.634,0.012
Gemini 2.5 Pro + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,OverallScore,0.591,0.006
Gemini 2.5 Pro + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,OverallScore,0.59,0.003
Gemini 2.5 Pro + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,OverallScore,0.583,0.008
Llama 4 Maverick + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,OverallScore,0.597,0.01
Llama 4 Maverick + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,OverallScore,0.547,0.032
Llama 4 Maverick + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,OverallScore,0.497,0.018
Llama 4 Maverick + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,OverallScore,0.575,0.019
Llama 4 Maverick + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,OverallScore,0.597,0.015
Llama 4 Maverick + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,OverallScore,0.54,0.013
Llama 4 Maverick + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,OverallScore,0.597,0.011
Llama 4 Maverick + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Meta + AMBOSS,OverallScore,0.621,0.008
Llama 4 Maverick + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,OverallScore,0.529,0.006
Llama 4 Maverick + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,OverallScore,0.522,0.017
Llama 4 Maverick + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,OverallScore,0.538,0.014
Llama 4 Scout + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,OverallScore,0.593,0.002
Llama 4 Scout + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,OverallScore,0.574,0.011
Llama 4 Scout + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,OverallScore,0.507,0.013
Llama 4 Scout + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,OverallScore,0.593,0.007
Llama 4 Scout + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,OverallScore,0.59,0.003
Llama 4 Scout + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,OverallScore,0.555,0.009
Llama 4 Scout + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,OverallScore,0.608,0.012
Llama 4 Scout + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,OverallScore,0.513,0.004
Llama 4 Scout + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,OverallScore,0.503,0.004
Llama 4 Scout + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,OverallScore,0.568,0.014
o3 mini + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,OverallScore,0.593,0.015
o3 mini + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,OverallScore,0.504,0.038
o3 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.447,0.033
o3 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.555,0.024
o3 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.543,0.008
o3 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,OverallScore,0.518,0.023
o3 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,OverallScore,0.59,0.014
o3 mini + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,OverallScore,0.411,0.016
o3 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,OverallScore,0.421,0.011
o3 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,OverallScore,0.411,0.019
DeepSeek R1 + DeepSeek R1 + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + DeepSeek,OverallScore,0.562,0.016
DeepSeek R1 + DeepSeek R1 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + OpenAI,OverallScore,0.578,0.011
DeepSeek R1 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Anthropic,OverallScore,0.599,0.011
DeepSeek R1 + Gemini 2.0 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,OverallScore,0.603,0.009
DeepSeek R1 + Gemini 2.0 Flash + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + AMBOSS,OverallScore,0.619,0.012
DeepSeek R1 + Gemini 2.5 Flash + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,OverallScore,0.608,0.016
DeepSeek R1 + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,OverallScore,0.598,0.011
DeepSeek R1 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,OverallScore,0.608,0.004
GPT-5 + GPT-5 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + OpenAI + OpenAI,OverallScore,0.564,0.013
Gemini 2.0 Flash + Claude 3.7 Sonnet + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + Google,OverallScore,0.586,0.009
Gemini 2.0 Flash + Claude 3.7 Sonnet + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + AMBOSS,OverallScore,0.616,0.006
Gemini 2.0 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,OverallScore,0.611,0.024
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Flash,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,OverallScore,0.586,0.013
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,OverallScore,0.575,0.015
Gemini 2.5 Flash + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + DeepSeek,OverallScore,0.581,0.013
Gemini 2.5 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,OverallScore,0.609,0.009
Gemini 2.5 Flash + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,OverallScore,0.579,0.013
Gemini 2.5 Flash + Llama 4 Maverick + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + DeepSeek,OverallScore,0.591,0.018
Gemini 2.5 Flash + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + OpenAI,OverallScore,0.622,0.012
Gemini 2.5 Flash + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + Google,OverallScore,0.591,0.008
Gemini 2.5 Pro + GPT-5 mini + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + OpenAI,OverallScore,0.615,0.016
Gemini 2.5 Pro + GPT-5 mini + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + AMBOSS,OverallScore,0.623,0.013
Gemini 2.5 Pro + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,OverallScore,0.611,0.012
Gemini 2.5 Pro + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,OverallScore,0.581,0.015
Llama 4 Maverick + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,OverallScore,0.627,0.021
Llama 4 Maverick + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,OverallScore,0.529,0.006
Llama 4 Scout + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + DeepSeek,OverallScore,0.612,0.01
Llama 4 Scout + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,OverallScore,0.632,0.011
Llama 4 Scout + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Google,OverallScore,0.615,0.011
Llama 4 Scout + Gemini 2.5 Pro + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + AMBOSS,OverallScore,0.643,0.011
Llama 4 Scout + Gemini 2.5 Pro + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Meta,OverallScore,0.613,0.022
Llama 4 Scout + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,OverallScore,0.594,0.013
Llama 4 Scout + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,OverallScore,0.615,0.011
Llama 4 Scout + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,OverallScore,0.515,0.007
Llama 4 Scout + Llama 4 Maverick + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,OverallScore,0.517,0.006
Llama 4 Scout + Llama 4 Scout + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + DeepSeek,OverallScore,0.554,0.02
Llama 4 Scout + Llama 4 Scout + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,OverallScore,0.597,0.019
Llama 4 Scout + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,OverallScore,0.615,0.03
Llama 4 Scout + Llama 4 Scout + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,OverallScore,0.507,0.005
Llama 4 Scout + Llama 4 Scout + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,OverallScore,0.506,0.008
Claude 3.7 Sonnet,Solo Models,Advisor,Anthropic,OverallScore,0.576,0.007
Claude Haiku 4.5,Solo Models,Advisor,Anthropic,OverallScore,0.537,0.007
Claude Sonnet 4.5,Solo Models,Advisor,Anthropic,OverallScore,0.582,0.008
DeepSeek R1,Solo Models,Advisor,DeepSeek,OverallScore,0.581,0.006
DeepSeek V3.1,Solo Models,Advisor,DeepSeek,OverallScore,0.577,0.009
GPT-4.1,Solo Models,Advisor,OpenAI,OverallScore,0.564,0.004
GPT-4.1 mini,Solo Models,Advisor,OpenAI,OverallScore,0.497,0.006
GPT-4o,Solo Models,Advisor,OpenAI,OverallScore,0.536,0.015
GPT-4o mini,Solo Models,Advisor,OpenAI,OverallScore,0.437,0.012
GPT-5,Solo Models,Advisor,OpenAI,OverallScore,0.583,0.009
GPT-5 mini,Solo Models,Advisor,OpenAI,OverallScore,0.57,0.01
GPT-5 nano,Solo Models,Advisor,OpenAI,OverallScore,0.511,0.012
Gemini 2.0 Flash,Solo Models,Advisor,Google,OverallScore,0.556,0.005
Gemini 2.5 Flash,Solo Models,Advisor,Google,OverallScore,0.582,0.007
Gemini 2.5 Pro,Solo Models,Advisor,Google,OverallScore,0.599,0.007
Gemini 3 Pro,Solo Models,Advisor,Google,OverallScore,0.548,0.013
Glass Health 4.0,Solo Models,Advisor,Glass Health,OverallScore,0.59,0.012
Grok 4,Solo Models,Advisor,xAI,OverallScore,0.58,0.012
Grok 4 Fast,Solo Models,Advisor,xAI,OverallScore,0.572,0.013
Kimi K2,Solo Models,Advisor,Moonshot AI,OverallScore,0.561,0.009
AMBOSS LiSA 1.0,Solo Models,Advisor,AMBOSS,OverallScore,0.623,0.005
Llama 3.3 70b,Solo Models,Advisor,Meta,OverallScore,0.511,0.007
Llama 4 Maverick,Solo Models,Advisor,Meta,OverallScore,0.535,0.004
Llama 4 Scout,Solo Models,Advisor,Meta,OverallScore,0.496,0.003
Mistral Large 2.1,Solo Models,Advisor,Mistral AI,OverallScore,0.537,0.013
Mistral Medium 3.1,Solo Models,Advisor,Mistral AI,OverallScore,0.502,0.012
Qwen3 235B,Solo Models,Advisor,Alibaba,OverallScore,0.527,0.018
Qwen3 32B,Solo Models,Advisor,Alibaba,OverallScore,0.488,0.01
o1,Solo Models,Advisor,OpenAI,OverallScore,0.532,0.013
o1 mini,Solo Models,Advisor,OpenAI,OverallScore,0.475,0.014
o3 mini,Solo Models,Advisor,OpenAI,OverallScore,0.427,0.01
o4 mini,Solo Models,Advisor,OpenAI,OverallScore,0.479,0.013
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Anthropic + Anthropic,Precision,0.505,0.002
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Anthropic + DeepSeek,Precision,0.542,0.006
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Precision,0.313,0.016
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Precision,0.59,0.004
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Precision,0.54,0.009
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Precision,0.486,0.007
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Precision,0.523,0.01
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Precision,0.495,0.01
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Precision,0.486,0.006
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Precision,0.511,0.01
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Precision,0.54,0.026
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Anthropic + AMBOSS,Precision,0.561,0.004
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,DeepSeek + Anthropic,Precision,0.514,0.004
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,DeepSeek + DeepSeek,Precision,0.519,0.007
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Precision,0.517,0.009
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Precision,0.462,0.004
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Precision,0.488,0.005
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Precision,0.5,0.011
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,DeepSeek + AMBOSS,Precision,0.518,0.004
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,DeepSeek + Meta,Precision,0.478,0.006
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Precision,0.495,0.004
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Precision,0.486,0.006
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Precision,0.27,0.015
